name,date,total_number,daily_number,number_from_unit,Square,Context,Unit,raw_material,mass,flake_type,completeness,percussion_length,max_dimension,platform_width,width_at_0.25_length,width_at_0.50_length,width_at_0.75_length,platform_thickness,thickness_at_0.25_length,thickness_at_0.50_length,thickness_at_0.75_length,thickness_at_0.25_width,thickness_at_0.75_width,platform_type,dorsal_cortex_perc,dorsal_cortex_dist,cortex_texture,heat_treatment,initiation,termination,platform_preparation,dorsal_scar_surface_count,dorsal_scar_initiation_count,dorsal_scar_directions,comment
...2,42485,1,1,1,B1,1,1,rq,10.7,p,c,27.43,42.7,20.18,30.16,37.68,30.53,9.25,9.18,8.63,7.31,5.34,4.41,co,0,n,n,n,h,f,n,6,2,NA,NA
...3,42485,2,2,2,B1,1,1,rq,8,p,t,25.86,31.68,20.17,27.26,29.93,20.76,6.04,6.44,8.05,5.31,6.33,7.2,co,0,n,n,n,h,s,n,3,2,NA,NA
...4,42485,3,3,3,B1,1,1,rq,4.8,p,c,26.06,29.64,10.65,18.54,25.51,20.91,3.98,6.14,6.59,3.91,4.77,3.88,co,0,n,n,n,h,f,n,4,1,NA,NA
...5,42485,4,4,4,B1,1,1,rq,4.5,p,t,11.96,33.58,30.03,30.55,20.54,16.04,7.31,6.1,4.94,3.52,4.68,3.46,co,0,n,n,n,b,s,n,2,2,NA,NA
...6,42485,5,5,5,B1,1,1,rq,8.3,p,c,31.37,34.45,16.49,22.33,24.51,17.99,9.05,7.42,6.24,5.47,4.41,6.48,co,0,cl,s,n,h,f,n,1,0,NA,NA
...7,42485,6,6,6,B1,1,1,rq,2,p,ll,17.61,21.64,16.58,13.61,12.04,9.63,6.49,5.23,4.82,3.02,2.13,NA,co,0,n,n,n,h,f,n,1,0,NA,NA
...8,42485,7,7,7,B1,1,1,rq,2.4,p,ll,17.95,25.59,16.69,16.94,15.48,11.63,6.31,5.83,5.02,3.27,2.56,NA,co,0,n,n,n,h,f,n,1,0,NA,NA
...9,42485,8,8,8,B1,1,1,rq,1.4,p,ll,20.08,25.27,10.56,10.41,10.62,16.03,6.2,4.36,2.59,2.94,1.11,NA,co,0,n,n,n,n,f,n,2,0,NA,NA
...10,42485,9,9,9,B1,1,1,rq,1.4,p,ll,17.8,19.48,10.46,10.68,12.4,12.89,5.14,4.23,3.48,1.6,2.01,NA,si,0,n,n,n,h,f,n,3,1,p1,NA
...11,42485,10,10,10,B1,1,1,rq,1.9,p,c,15.42,22.8,20.83,15.5,13.29,9.44,6.41,6.61,5.01,2.49,5.01,3.68,co,0,n,n,n,h,f,n,2,1,p1,NA
...12,42485,11,11,11,B1,1,1,rq,4,p,ll,27.04,29.59,20.42,18.97,14.74,10.6,6.71,7.69,6.85,4.68,3.13,NA,co,0,n,n,n,h,f,n,1,1,p1,NA
...13,42485,12,12,12,B1,1,1,rq,13.7,p,t,42.53,47.97,23.38,23.37,19.97,15.84,10.51,10.39,9.79,6.28,3.51,NA,co,0,n,n,n,h,s,n,1,1,p1,NA
...14,42485,13,13,13,B1,1,1,rq,2.3,p,c,13,24.45,24.89,22.35,22.2,15.6,8.48,6.74,4.83,2.24,2.9699999999999998,2.25,co,0,n,n,n,h,f,n,0,0,n,NA
...15,42485,14,14,14,B1,1,1,rq,3.3,p,ll,18.12,24.63,17.31,17.29,16.65,13.34,6.97,6.4,5.14,5.09,3.98,5.79,co,0,n,n,n,h,f,n,1,0,n,NA
...16,42485,15,15,15,B1,1,1,rq,1.1,p,c,11.67,20.32,13.26,15.45,19.53,13.1,4.92,4.67,3.59,2.54,2.68,1.61,co,0,n,n,n,h,f,n,2,0,n,NA
...17,42485,16,16,16,B1,1,1,rq,0.4,p,ll,12.08,13.79,7.9,8.23,9.18,6.79,2.71,3.26,3.18,1.72,1.72,NA,co,0,n,n,n,h,f,n,1,1,p1,NA
...18,42485,17,17,17,B1,1,1,rq,0.4,p,c,9.45,12.68,9.72,11.16,11.78,8.19,3.75,3.07,2.72,1.82,1.93,2.09,co,0,n,n,n,b,f,n,1,0,n,NA
...19,42485,18,18,18,B1,1,1,rq,2,p,c,12.72,25.69,22.41,22.56,15.97,9.22,7.38,5.12,3.41,1.51,2.69,1.82,co,0,n,n,n,b,f,n,3,1,p3,NA
...20,42485,19,19,19,B1,1,1,rq,0.8,p,lr,22.49,23.32,5.48,7.28,11.34,6.54,2.85,2.43,2.76,1.98,NA,1.83,co,0,n,n,n,h,f,n,3,1,p1,NA
...21,42485,20,20,20,B1,1,1,rq,2,p,tl,12.42,18.54,14,14.1,15.4,9.93,8.04,7.27,4.54,4.5,3.52,NA,co,0,n,n,n,b,s,n,2,0,n,NA
...22,42485,21,21,21,B1,1,1,rq,1.2,p,t,9.03,19.22,17.39,17.14,14.53,10.97,5.96,4.96,4.07,2.67,2.63,2.23,co,0,n,n,n,h,s,n,1,1,p1,NA
...23,42485,22,22,22,B1,1,1,rq,1.2,p,ll,20.5,21.06,7.28,11.64,12.35,8.07,4.82,5.07,3.23,1.91,2.3,NA,co,0,n,n,n,h,f,n,2,1,p1,NA
...24,42485,23,23,23,B1,1,1,rq,0.1,p,c,7.25,13.68,7.71,10.27,11.79,12.95,2.27,2.81,2.31,1.29,1,2.27,co,0,n,n,n,h,f,n,2,1,p1,NA
...25,42485,24,24,24,B1,1,1,rq,0.6,p,c,11.73,13.53,9.66,10.65,9.43,7.32,4.32,4.61,3.71,1.92,2.52,1.58,co,0,n,n,n,b,f,n,2,0,n,NA
...26,42485,25,25,25,B1,1,1,rq,0.6,p,lr,10.11,15.01,9.95,11.49,10.93,10.92,6.11,3.12,2.7,1.52,NA,1.1299999999999997,co,0,n,n,n,b,f,n,1,0,n,NA
...27,42485,26,26,26,B1,1,1,rq,0.3,p,c,9.86,15.7,6.73,11.44,7.94,6.13,1.99,1.64,1.7,0.98,1.1599999999999997,1,co,0,n,n,n,b,f,n,1,1,p1,NA
...28,42485,27,27,27,B1,1,1,rq,0.4,p,c,14.1,16.45,10.68,11.88,10.1,6.82,1.52,1.69,1.54,2.01,1.82,1.42,co,0,n,n,n,b,f,n,2,0,p1,NA
