x,y,landmark.number,specimen.number
36.671,44.0715,1,1
36.172,43.38575,2,1
35.796,42.7,3,1
36.1535,41.328500000000005,4,1
37.68,39.957,5,1
39.2065,41.328500000000005,6,1
39.564,42.7,7,1
39.188,43.38575,8,1
38.689,44.0715,9,1
28.921499999999998,32.973,1,2
28.567,32.3265,2,2
28.4335,31.68,3,2
28.892,30.387,4,2
29.93,29.094,5,2
30.968,30.387,6,2
31.4265,31.68,7,2
31.293,32.3265,8,2
30.9385,32.973,9,2
24.977500000000003,30.943,1,3
24.583000000000002,30.2915,2,3
24.2345,29.64,3,3
24.4645,28.337,4,3
25.51,27.034,5,3
26.555500000000002,28.337,6,3
26.785500000000003,29.64,7,3
26.437,30.2915,8,3
26.0425,30.943,9,3
19.0385,34.178,1,4
19.0125,33.879,2,4
19.512999999999998,33.58,3,4
19.738,32.982,4,4
20.54,32.384,5,4
21.342,32.982,6,4
21.567,33.58,7,4
22.0675,33.879,8,4
22.0415,34.178,9,4
23.6855,36.0185,1,5
23.393500000000003,35.23425,2,5
23.2845,34.45,3,5
23.610500000000002,32.8815,4,5
24.51,31.313000000000002,5,5
25.4095,32.8815,6,5
25.735500000000002,34.45,7,5
25.6265,35.23425,8,5
25.334500000000002,36.0185,9,5
11.210999999999999,22.520500000000002,1,6
11.359499999999999,22.08025,2,6
11.437999999999999,21.64,3,6
11.558499999999999,20.7595,4,6
12.04,19.879,5,6
12.5215,20.7595,6,6
12.642,21.64,7,6
12.7205,22.08025,8,6
12.869,22.520500000000002,9,6
14.6455,26.4875,1,7
14.633000000000001,26.03875,2,7
14.706,25.59,3,7
14.8985,24.6925,4,7
15.48,23.795,5,7
16.0615,24.6925,6,7
16.254,25.59,7,7
16.327,26.03875,8,7
16.3145,26.4875,9,7
10.091999999999999,26.274,1,8
10.099499999999999,25.772,2,8
10.088999999999999,25.27,3,8
9.818499999999998,24.266,4,8
10.62,23.262,5,8
11.4215,24.266,6,8
11.151,25.27,7,8
11.1405,25.772,8,8
11.148,26.274,9,8
11.877,20.37,1,9
11.866,19.925,2,9
11.780000000000001,19.48,3,9
11.7555,18.59,4,9
12.4,17.7,5,9
13.044500000000001,18.59,6,9
13.02,19.48,7,9
12.934000000000001,19.925,8,9
12.923,20.37,9,9
12.2485,23.571,1,10
12.514999999999999,23.1855,2,10
12.625499999999999,22.8,3,10
12.818,22.029,4,10
13.29,21.258,5,10
13.761999999999999,22.029,6,10
13.9545,22.8,7,10
14.065,23.1855,8,10
14.331499999999998,23.571,9,10
13.719,30.942,1,11
13.791500000000001,30.266,2,11
14.003,29.59,3,11
14.21,28.238,4,11
14.74,26.886,5,11
15.27,28.238,6,11
15.477,29.59,7,11
15.6885,30.266,8,11
15.761000000000001,30.942,9,11
18.801,50.0965,1,12
18.801499999999997,49.033249999999995,2,12
18.9715,47.97,3,12
19.177999999999997,45.8435,4,12
19.97,43.717,5,12
20.762,45.8435,6,12
20.9685,47.97,7,12
21.1385,49.033249999999995,8,12
21.139,50.0965,9,12
20.9555,25.099999999999998,1,13
21.0825,24.775,2,13
21.09,24.45,3,13
21.419999999999998,23.8,4,13
22.2,23.15,5,13
22.98,23.8,6,13
23.31,24.45,7,13
23.3175,24.775,8,13
23.444499999999998,25.099999999999998,9,13
15.784499999999998,25.535999999999998,1,14
15.785499999999999,25.083,2,14
15.817499999999999,24.63,3,14
15.982999999999999,23.724,4,14
16.65,22.817999999999998,5,14
17.317,23.724,6,14
17.482499999999998,24.63,7,14
17.514499999999998,25.083,8,14
17.5155,25.535999999999998,9,14
18.867,20.9035,1,15
18.7575,20.61175,2,15
18.5535,20.32,3,15
18.875,19.7365,4,15
19.53,19.153,5,15
20.185000000000002,19.7365,6,15
20.506500000000003,20.32,7,15
20.302500000000002,20.61175,8,15
20.193,20.9035,9,15
8.785,14.393999999999998,1,16
8.7685,14.091999999999999,2,16
8.721,13.79,3,16
8.8405,13.186,4,16
9.18,12.581999999999999,5,16
9.519499999999999,13.186,6,16
9.639,13.79,7,16
9.5915,14.091999999999999,8,16
9.575,14.393999999999998,9,16
11.293999999999999,13.1525,1,17
11.222,12.91625,2,17
11.190999999999999,12.68,3,17
11.3705,12.2075,4,17
11.78,11.735,5,17
12.189499999999999,12.2075,6,17
12.369,12.68,7,17
12.338,12.91625,8,17
12.266,13.1525,9,17
14.8495,26.326,1,18
14.842,26.008000000000003,2,18
15.1715,25.69,3,18
15.509,25.054000000000002,4,18
15.97,24.418000000000003,5,18
16.431,25.054000000000002,6,18
16.7685,25.69,7,18
17.098,26.008000000000003,8,18
17.090500000000002,26.326,9,18
11.065999999999999,24.4445,1,19
10.975999999999999,23.88225,2,19
10.773,23.32,3,19
11.013,22.1955,4,19
11.34,21.071,5,19
11.667,22.1955,6,19
11.907,23.32,7,19
11.704,23.88225,8,19
11.614,24.4445,9,19
14.700000000000001,19.160999999999998,1,20
14.695,18.8505,2,20
14.63,18.54,3,20
14.903500000000001,17.919,4,20
15.4,17.298,5,20
15.8965,17.919,6,20
16.17,18.54,7,20
16.105,18.8505,8,20
16.1,19.160999999999998,9,20
13.660499999999999,19.671499999999998,1,21
13.673,19.44575,2,21
13.8035,19.22,3,21
13.981499999999999,18.7685,4,21
14.53,18.317,5,21
15.0785,18.7685,6,21
15.256499999999999,19.22,7,21
15.386999999999999,19.44575,8,21
15.3995,19.671499999999998,9,21
11.985999999999999,22.084999999999997,1,22
11.767999999999999,21.572499999999998,2,22
11.7325,21.06,3,22
11.9465,20.035,4,22
12.35,19.009999999999998,5,22
12.753499999999999,20.035,6,22
12.9675,21.06,7,22
12.932,21.572499999999998,8,22
12.714,22.084999999999997,9,22
11.404499999999999,14.0425,1,23
11.276499999999999,13.86125,2,23
11.2005,13.68,3,23
11.142499999999998,13.317499999999999,4,23
11.79,12.955,5,23
12.4375,13.317499999999999,6,23
12.379499999999998,13.68,7,23
12.3035,13.86125,8,23
12.1755,14.0425,9,23
8.947,14.116499999999998,1,24
8.897499999999999,13.82325,2,24
8.958499999999999,13.53,3,24
9.064,12.9435,4,24
9.43,12.357,5,24
9.796,12.9435,6,24
9.9015,13.53,7,24
9.9625,13.82325,8,24
9.913,14.116499999999998,9,24
10.4325,15.5155,1,25
10.3555,15.26275,2,25
10.3835,15.01,3,25
10.384,14.5045,4,25
